datetime,open,high,low,close,atr_pct,confluence,regime,signal,entry_price,exit_price,exit_time,movement_pct,result
2024-12-20 09:45:00,1.03793,1.03863,1.03757,1.03824,0.0846,1,UP,HOLD,,,,,
2024-12-20 10:00:00,1.03825,1.03899,1.03823,1.03855,0.0832,1,UP,HOLD,,,,,
2024-12-20 10:15:00,1.03855,1.03883,1.0381,1.03863,0.0812,2,UP,HOLD,,,,,
2024-12-20 10:30:00,1.03863,1.03893,1.03831,1.03884,0.0798,1,UP,HOLD,,,,,
2024-12-20 10:45:00,1.03884,1.03928,1.03866,1.03915,0.0778,1,UP,HOLD,,,,,
2024-12-20 11:00:00,1.03915,1.03915,1.03793,1.03852,0.081,1,UP,HOLD,,,,,
2024-12-20 11:15:00,1.03852,1.03879,1.03797,1.03877,0.0816,1,UP,HOLD,,,,,
2024-12-20 11:30:00,1.03877,1.03971,1.03868,1.03904,0.0791,1,UP,HOLD,,,,,
2024-12-20 11:45:00,1.03904,1.03942,1.03899,1.0391,0.0757,2,UP,HOLD,,,,,
2024-12-20 12:00:00,1.03911,1.03946,1.03905,1.03939,0.0747,1,UP,HOLD,,,,,
2024-12-20 12:15:00,1.03939,1.03983,1.03921,1.03979,0.0737,2,UP,SELL (BEARISH),1.03979,1.039686021,2024-12-20 12:30:00,0.1,WIN ✅ (+0.01%)
2024-12-20 12:30:00,1.03979,1.04,1.03934,1.03965,0.0703,1,UP,HOLD,,,,,
2024-12-20 12:45:00,1.03965,1.03986,1.03875,1.03892,0.0727,0,UP,HOLD,,,,,
2024-12-20 13:00:00,1.03892,1.03932,1.03874,1.03929,0.0733,0,UP,HOLD,,,,,
2024-12-20 13:15:00,1.03931,1.04008,1.03911,1.03981,0.0727,1,UP,HOLD,,,,,
2024-12-20 13:30:00,1.03982,1.04188,1.03982,1.04134,0.0816,1,UP,HOLD,,,,,
2024-12-20 13:45:00,1.04133,1.04133,1.04028,1.04071,0.0839,1,UP,HOLD,,,,,
2024-12-20 14:00:00,1.04071,1.04087,1.03931,1.03956,0.0904,1,UP,HOLD,,,,,
2024-12-20 14:15:00,1.03956,1.03982,1.03885,1.03922,0.0929,1,UP,HOLD,,,,,
2024-12-20 14:30:00,1.0392,1.03977,1.03893,1.03896,0.0903,1,UP,HOLD,,,,,
2024-12-20 14:45:00,1.03896,1.03966,1.03857,1.03933,0.0921,1,UP,HOLD,,,,,
2024-12-20 15:00:00,1.03937,1.0407,1.03925,1.03991,0.0949,1,UP,HOLD,,,,,
2024-12-20 15:15:00,1.03991,1.04048,1.03913,1.03939,0.1013,1,UP,HOLD,,,,,
2024-12-20 15:30:00,1.03939,1.04067,1.03922,1.0406,0.1083,1,UP,HOLD,,,,,
2024-12-20 15:45:00,1.04063,1.04068,1.03907,1.03964,0.1152,1,UP,HOLD,,,,,
2024-12-20 16:00:00,1.03965,1.04035,1.03957,1.0401,0.116,1,UP,HOLD,,,,,
2024-12-20 16:15:00,1.0401,1.04187,1.04003,1.04122,0.1209,1,UP,HOLD,,,,,
2024-12-20 16:30:00,1.04122,1.04336,1.04122,1.04263,0.1314,1,UP,HOLD,,,,,
2024-12-20 16:45:00,1.04263,1.0435,1.04241,1.04279,0.1322,2,UP,SELL (BEARISH),1.04279,1.042685721,2024-12-20 17:00:00,0.03,WIN ✅ (+0.01%)
2024-12-20 17:00:00,1.04278,1.04406,1.04253,1.04384,0.1284,1,UP,HOLD,,,,,
2024-12-20 17:15:00,1.04384,1.04445,1.04371,1.04379,0.1262,3,UP,SELL (BEARISH),1.04379,1.043685621,2024-12-20 17:30:00,0.16,WIN ✅ (+0.01%)
2024-12-20 17:30:00,1.04379,1.04379,1.04299,1.04334,0.121,1,UP,HOLD,,,,,
2024-12-20 17:45:00,1.04334,1.04334,1.04277,1.04282,0.1184,1,UP,HOLD,,,,,
2024-12-20 18:00:00,1.04282,1.04326,1.04247,1.04312,0.118,1,UP,HOLD,,,,,
2024-12-20 18:15:00,1.04312,1.04312,1.04235,1.04239,0.1159,1,UP,HOLD,,,,,
2024-12-20 18:30:00,1.04239,1.04404,1.04217,1.04403,0.1186,1,UP,HOLD,,,,,
2024-12-20 18:45:00,1.04403,1.04425,1.04359,1.04364,0.1139,1,UP,HOLD,,,,,
2024-12-20 19:00:00,1.04364,1.04418,1.04336,1.04399,0.1095,1,UP,HOLD,,,,,
2024-12-20 19:15:00,1.04399,1.04444,1.04393,1.04433,0.102,1,UP,HOLD,,,,,
2024-12-20 19:30:00,1.04433,1.04446,1.04402,1.04433,0.0997,3,UP,SELL (BEARISH),1.04433,1.044225567,2024-12-20 19:45:00,0.14,WIN ✅ (+0.01%)
2024-12-20 19:45:00,1.04433,1.04471,1.04411,1.04445,0.0912,2,UP,SELL (BEARISH),1.04445,1.044345555,2024-12-20 20:00:00,0.17,WIN ✅ (+0.01%)
2024-12-20 20:00:00,1.04445,1.04468,1.04381,1.04448,0.0825,2,UP,HOLD,,,,,
2024-12-20 20:15:00,1.04448,1.04462,1.04428,1.04439,0.0774,1,UP,HOLD,,,,,
2024-12-20 20:30:00,1.04439,1.04439,1.04373,1.04396,0.0714,0,UP,HOLD,,,,,
2024-12-20 20:45:00,1.04396,1.04402,1.04283,1.04284,0.0746,1,UP,HOLD,,,,,
2024-12-20 21:00:00,1.04284,1.04333,1.04264,1.04275,0.0738,1,UP,HOLD,,,,,
2024-12-20 21:15:00,1.04276,1.04284,1.04248,1.0425,0.0724,0,UP,HOLD,,,,,
2024-12-20 21:30:00,1.0425,1.04263,1.04216,1.04263,0.0702,0,UP,HOLD,,,,,
2024-12-20 21:45:00,1.04264,1.04288,1.04256,1.0427,0.0671,1,UP,HOLD,,,,,
2024-12-22 22:00:00,1.04272,1.0429,1.04272,1.04279,0.0557,1,UP,HOLD,,,,,
