trades,ganhos,perdas,wr,avg_ganho,avg_perda,pf,sharpe,drawdown,expectancy,far_below,far_above,close_above_sma200,sma_trend_up,mid_range,bullish_only,min_trades
108,29,79,26.851851851851855,0.29401270678579294,-0.27250529346013014,0.39605914600082737,-28.15903336635436,-12.503247823314393,-0.12038471932002112,False,False,False,False,False,True,20
23,6,17,26.08695652173913,0.3135659142647888,-0.3215396608865739,0.3441824183495316,-39.24438363340507,-3.2018629967777885,-0.15585994562969663,True,False,True,False,False,False,5
23,6,17,26.08695652173913,0.3135659142647888,-0.3215396608865739,0.3441824183495316,-39.24438363340507,-3.2018629967777885,-0.15585994562969663,True,False,True,False,False,False,10
23,6,17,26.08695652173913,0.3135659142647888,-0.3215396608865739,0.3441824183495316,-39.24438363340507,-3.2018629967777885,-0.15585994562969663,True,False,True,False,False,False,20
8,2,6,25.0,0.2779560216007828,-0.34470626553267264,0.26877239239391254,-49.89539463123522,-1.2164493189923458,-0.18904069374930876,True,True,False,True,False,False,5
8,2,6,25.0,0.2779560216007828,-0.34470626553267264,0.26877239239391254,-49.89539463123522,-1.2164493189923458,-0.18904069374930876,False,True,False,True,False,False,5
20,5,15,25.0,0.2581729042451963,-0.3363977607460084,0.25581599924316656,-51.78910945379091,-3.270128702583107,-0.1877550944982072,True,True,True,False,False,False,5
20,5,15,25.0,0.2581729042451963,-0.3363977607460084,0.25581599924316656,-51.78910945379091,-3.270128702583107,-0.1877550944982072,True,True,True,False,False,False,10
20,5,15,25.0,0.2581729042451963,-0.3363977607460084,0.25581599924316656,-51.78910945379091,-3.270128702583107,-0.1877550944982072,True,True,True,False,False,False,20
20,5,15,25.0,0.2581729042451963,-0.3363977607460084,0.25581599924316656,-51.78910945379091,-3.270128702583107,-0.1877550944982072,False,True,True,False,False,False,5
20,5,15,25.0,0.2581729042451963,-0.3363977607460084,0.25581599924316656,-51.78910945379091,-3.270128702583107,-0.1877550944982072,False,True,True,False,False,False,10
20,5,15,25.0,0.2581729042451963,-0.3363977607460084,0.25581599924316656,-51.78910945379091,-3.270128702583107,-0.1877550944982072,False,True,True,False,False,False,20
59,13,46,22.033898305084744,0.2019735545466143,-0.30874397397323444,0.1848751253980868,-56.4118092994605,-10.990589671159503,-0.19621299311292878,True,False,False,False,False,True,5
59,13,46,22.033898305084744,0.2019735545466143,-0.30874397397323444,0.1848751253980868,-56.4118092994605,-10.990589671159503,-0.19621299311292878,True,False,False,False,False,True,10
59,13,46,22.033898305084744,0.2019735545466143,-0.30874397397323444,0.1848751253980868,-56.4118092994605,-10.990589671159503,-0.19621299311292878,True,False,False,False,False,True,20
62,13,49,20.967741935483872,0.2019735545466143,-0.30597111905353386,0.17512915386693054,-58.69125111359286,-11.692239477372802,-0.19946659071801892,True,False,False,False,False,False,5
62,13,49,20.967741935483872,0.2019735545466143,-0.30597111905353386,0.17512915386693054,-58.69125111359286,-11.692239477372802,-0.19946659071801892,True,False,False,False,False,False,10
62,13,49,20.967741935483872,0.2019735545466143,-0.30597111905353386,0.17512915386693054,-58.69125111359286,-11.692239477372802,-0.19946659071801892,True,False,False,False,False,False,20
48,10,38,20.833333333333336,0.17839603000522397,-0.33643689350358724,0.139538669465392,-67.40208299214424,-10.047014663622372,-0.22918003443925156,True,True,False,False,False,True,5
48,10,38,20.833333333333336,0.17839603000522397,-0.33643689350358724,0.139538669465392,-67.40208299214424,-10.047014663622372,-0.22918003443925156,True,True,False,False,False,True,10
48,10,38,20.833333333333336,0.17839603000522397,-0.33643689350358724,0.139538669465392,-67.40208299214424,-10.047014663622372,-0.22918003443925156,True,True,False,False,False,True,20
48,10,38,20.833333333333336,0.17839603000522397,-0.33643689350358724,0.139538669465392,-67.40208299214424,-10.047014663622372,-0.22918003443925156,False,True,False,False,False,True,5
48,10,38,20.833333333333336,0.17839603000522397,-0.33643689350358724,0.139538669465392,-67.40208299214424,-10.047014663622372,-0.22918003443925156,False,True,False,False,False,True,10
48,10,38,20.833333333333336,0.17839603000522397,-0.33643689350358724,0.139538669465392,-67.40208299214424,-10.047014663622372,-0.22918003443925156,False,True,False,False,False,True,20
51,10,41,19.607843137254903,0.17839603000522397,-0.33109668253635827,0.13141450398731788,-70.04052301351341,-10.7561025510311,-0.23119615066545982,True,True,False,False,False,False,5
51,10,41,19.607843137254903,0.17839603000522397,-0.33109668253635827,0.13141450398731788,-70.04052301351341,-10.7561025510311,-0.23119615066545982,True,True,False,False,False,False,10
