<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.29	01:45:00	1.17146	1.17146	1.17099	1.17117	432	0	6
2026.04.29	02:00:00	1.17117	1.17165	1.17117	1.17145	423	0	6
2026.04.29	02:15:00	1.17146	1.17163	1.17122	1.17126	498	0	6
2026.04.29	02:30:00	1.17126	1.17128	1.17068	1.17078	439	0	6
2026.04.29	02:45:00	1.17078	1.17105	1.17071	1.17073	212	0	6
2026.04.29	03:00:00	1.17073	1.17104	1.17073	1.17089	406	0	6
2026.04.29	03:15:00	1.17089	1.17104	1.17082	1.17092	246	0	6
2026.04.29	03:30:00	1.17092	1.17092	1.17061	1.17062	200	0	6
2026.04.29	03:45:00	1.17061	1.17065	1.17047	1.17054	228	0	6
2026.04.29	04:00:00	1.17056	1.17071	1.17050	1.17065	239	0	6
2026.04.29	04:15:00	1.17064	1.17067	1.17047	1.17057	205	0	6
2026.04.29	04:30:00	1.17057	1.17073	1.17056	1.17056	194	0	6
2026.04.29	04:45:00	1.17056	1.17060	1.17042	1.17052	127	0	6
2026.04.29	05:00:00	1.17052	1.17056	1.17027	1.17028	215	0	6
2026.04.29	05:15:00	1.17028	1.17031	1.17007	1.17015	258	0	6
2026.04.29	05:30:00	1.17016	1.17028	1.16978	1.17002	356	0	6
2026.04.29	05:45:00	1.17002	1.17018	1.16985	1.17004	469	0	6
2026.04.29	06:00:00	1.17004	1.17038	1.16970	1.16973	491	0	6
2026.04.29	06:15:00	1.16973	1.16994	1.16965	1.16988	473	0	6
2026.04.29	06:30:00	1.16988	1.17035	1.16961	1.17004	438	0	6
2026.04.29	06:45:00	1.17004	1.17032	1.16980	1.16995	591	0	6
2026.04.29	07:00:00	1.16995	1.17069	1.16979	1.17059	697	0	6
2026.04.29	07:15:00	1.17059	1.17063	1.17022	1.17048	571	0	6
2026.04.29	07:30:00	1.17048	1.17072	1.17038	1.17046	686	0	6
2026.04.29	07:45:00	1.17046	1.17080	1.17039	1.17052	630	0	6
2026.04.29	08:00:00	1.17052	1.17055	1.16933	1.16951	1144	0	6
2026.04.29	08:15:00	1.16951	1.17022	1.16950	1.16983	739	0	6
2026.04.29	08:30:00	1.16983	1.16994	1.16951	1.16989	658	0	6
2026.04.29	08:45:00	1.16989	1.17010	1.16979	1.16999	428	0	6
2026.04.29	09:00:00	1.16999	1.17024	1.16987	1.16995	574	0	6
2026.04.29	09:15:00	1.16995	1.17018	1.16968	1.17012	582	0	6
2026.04.29	09:30:00	1.17012	1.17043	1.16991	1.16995	565	0	6
2026.04.29	09:45:00	1.16995	1.17017	1.16957	1.16972	657	0	6
2026.04.29	10:00:00	1.16972	1.17016	1.16961	1.17014	563	0	6
2026.04.29	10:15:00	1.17014	1.17027	1.16997	1.17008	457	0	6
2026.04.29	10:30:00	1.17009	1.17016	1.16999	1.17008	323	0	6
2026.04.29	10:45:00	1.17008	1.17090	1.17006	1.17090	484	0	6
2026.04.29	11:00:00	1.17090	1.17094	1.17043	1.17046	625	0	6
2026.04.29	11:15:00	1.17046	1.17072	1.17033	1.17050	526	0	6
2026.04.29	11:30:00	1.17050	1.17088	1.17029	1.17035	562	0	6
2026.04.29	11:45:00	1.17035	1.17048	1.16996	1.17006	373	0	6
2026.04.29	12:00:00	1.17006	1.17079	1.17000	1.17037	616	0	6
2026.04.29	12:15:00	1.17038	1.17074	1.17010	1.17043	728	0	6
2026.04.29	12:30:00	1.17043	1.17044	1.16964	1.16993	1032	0	6
2026.04.29	12:45:00	1.16993	1.17008	1.16932	1.16986	1176	0	6
2026.04.29	13:00:00	1.16987	1.17030	1.16979	1.16987	1092	0	6
2026.04.29	13:15:00	1.16987	1.16987	1.16893	1.16906	1454	0	6
2026.04.29	13:30:00	1.16906	1.16917	1.16821	1.16867	1439	0	6
2026.04.29	13:45:00	1.16867	1.16894	1.16839	1.16886	1490	0	6
2026.04.29	14:00:00	1.16887	1.16889	1.16835	1.16872	1507	0	6
2026.04.29	14:15:00	1.16872	1.16925	1.16869	1.16903	842	0	6
2026.04.29	14:30:00	1.16903	1.16952	1.16896	1.16904	886	0	6
2026.04.29	14:45:00	1.16904	1.17027	1.16872	1.17006	1282	0	6
2026.04.29	15:00:00	1.17008	1.17013	1.16944	1.16944	1256	0	6
2026.04.29	15:15:00	1.16945	1.16971	1.16903	1.16920	1096	0	6
2026.04.29	15:30:00	1.16921	1.16999	1.16913	1.16986	1199	0	6
2026.04.29	15:45:00	1.16986	1.17038	1.16871	1.16944	1892	0	6
2026.04.29	16:00:00	1.16945	1.16985	1.16908	1.16915	902	0	6
2026.04.29	16:15:00	1.16915	1.16948	1.16889	1.16922	714	0	6
